"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.535","115.780","-13.083","-1.8","178.0","FourOPT","2015/6/16 17:49:22","17","49","22","5256173","北京市","北京市县","延庆县","2015/6/16 17:49:02","1","118,4,1,0","IC","1.820"
"40.531","116.147","-10.498","-3.4","69.9","FourOPT","2015/6/16 17:56:31","17","56","31","745183","北京市","北京市县","延庆县","2015/6/16 17:56:12","1","118,4,117","IC","2.118"
"39.761","115.868","-18.419","-2.9","0.0","TwoMIX","2015/6/16 17:56:38","17","56","38","1115453","北京市","北京市县","房山区","2015/6/16 17:56:16","1","1,4","IC","0.000"
"40.386","116.563","34.870","3.5","138.8","FourOPT","2015/6/16 17:56:38","17","56","38","5383666","北京市","北京市县","怀柔区","2015/6/16 17:56:18","1","1,118,0,4,117","IC","3.923"
"40.441","116.334","-13.549","-1.5","172.2","FourOPT","2015/6/16 18:11:19","18","11","19","9936001","北京市","北京市县","怀柔区","2015/6/16 18:10:56","1","1,0,4,2,60","IC","4.914"
"40.584","115.848","-21.689","-3.0","172.2","FourOPT","2015/6/16 17:26:26","17","26","26","3538316","北京市","北京市县","延庆县","2015/6/16 17:26:04","1","118,4,0,60","CG","0.000"
"40.583","115.846","-13.943","-2.7","238.0","FourOPT","2015/6/16 17:26:26","17","26","26","3907922","北京市","北京市县","延庆县","2015/6/16 17:26:05","1","118,4,0,60","IC","2.725"
"40.586","115.850","-35.734","-7.9","138.4","FourOPT","2015/6/16 17:26:26","17","26","26","5403642","北京市","北京市县","延庆县","2015/6/16 17:26:06","1","4,2,0,117,113","CG","0.000"
"40.586","115.847","-40.416","-9.4","69.9","FourOPT","2015/6/16 17:26:26","17","26","26","7798582","北京市","北京市县","延庆县","2015/6/16 17:26:06","1","4,2,0,60,117","CG","0.000"
"40.586","115.849","-53.445","-10.7","69.9","FourOPT","2015/6/16 17:26:26","17","26","26","8533661","北京市","北京市县","延庆县","2015/6/16 17:26:07","1","4,2,0,60,117","CG","0.000"
"40.392","115.845","-9.281","-1.9","0.0","TwoMIX","2015/6/16 17:26:34","17","26","34","8321771","北京市","北京市县","延庆县","2015/6/16 17:26:11","1","118,2","CG","0.000"
"40.388","115.849","-19.603","-4.7","238.1","FourOPT","2015/6/16 17:26:34","17","26","34","9275194","北京市","北京市县","延庆县","2015/6/16 17:26:11","1","2,0,4,60","CG","0.000"
"40.415","115.986","-41.254","-8.3","139.8","FourOPT","2015/6/16 17:34:44","17","34","44","6923221","北京市","北京市县","延庆县","2015/6/16 17:34:20","1","2,0,1,4,60","CG","0.000"
"40.414","115.986","-30.487","-8.5","139.8","FourOPT","2015/6/16 17:34:45","17","34","45","207823","北京市","北京市县","延庆县","2015/6/16 17:34:21","1","2,0,1,4,60","CG","0.000"
"40.472","116.084","-6.347","-2.6","178.2","FourOPT","2015/6/16 17:34:45","17","34","45","1890243","北京市","北京市县","延庆县","2015/6/16 17:34:21","1","118,2,1,0,4","IC","3.023"
"40.499","115.820","-13.043","-2.1","178.1","FourOPT","2015/6/16 17:34:45","17","34","45","4010532","北京市","北京市县","延庆县","2015/6/16 17:34:22","1","118,4,1,0","IC","1.481"
"40.417","115.933","-11.555","-5.1","69.9","FourOPT","2015/6/16 17:42:18","17","42","18","2920999","北京市","北京市县","延庆县","2015/6/16 17:42:04","1","118,2,1,4","CG","0.000"
"40.410","116.076","-11.227","-6.2","0.0","TwoMIX","2015/6/16 17:42:29","17","42","29","696572","北京市","北京市县","延庆县","2015/6/16 17:42:12","1","118,1","CG","0.000"
"40.385","116.361","8.105","8.0","101.4","FourOPT","2015/6/16 17:49:32","17","49","32","3256460","北京市","北京市县","怀柔区","2015/6/16 17:49:12","1","118,1,0,4","IC","3.170"
